career,scenario,emp_p05,emp_p50,emp_p95,g_adj_mean,g_adj_p05,g_adj_p95
software_engineer,Moderate_Substitution,1634869.8458376434,1767540.9195841942,1881930.937816339,-0.002842869147808757,-0.010397792720743452,0.0036278524411271587
software_engineer,High_Disruption,1284013.7497498803,1503598.7151126014,1694870.9266105732,-0.019295252487747085,-0.03401739917512602,-0.006824495367407198
electrician,Moderate_Substitution,978345.5965174868,993570.6010216208,1015302.1000981277,0.01171984253996381,0.010043743958304494,0.013795786815757525
electrician,High_Disruption,992903.8513704421,1026326.1906071005,1073904.2906773149,0.015135924897785195,0.011536767276421755,0.019500660056918327
writer,Moderate_Substitution,265381.66477484733,280317.9244809841,292174.8999657172,-0.009476767841584768,-0.01465468006168622,-0.005131552587705475
writer,High_Disruption,225796.4395435533,249552.34210281345,272214.8520951932,-0.020926296578469814,-0.030443603751203897,-0.012146487158943337
