r2,mae,rmse,fold
0.4118081659221333,0.059856580989104645,0.07587033849498884,1
0.49371827315316597,0.05767402035747396,0.0721995362627562,2
0.4484236677206004,0.05050267636402522,0.06504050197055981,3
0.5426660014506952,0.055124786896974386,0.06798489037967419,4
0.52452712683056,0.056489976981525226,0.06871313210866742,5
